rating,handle,country,avatar,challengeregdate,submissionnumber,language,final_score,placement,provisionalpoints,joinedtopcoderdate
1957,selim_sef,Germany,,2021-03-31 12:11:58,457886,,(null),(null),,2017-09-17 15:57:43
1957,selim_sef,Germany,,2021-03-31 12:11:58,457887,,(null),(null),,2017-09-17 15:57:43
1957,selim_sef,Germany,,2021-03-31 12:11:58,457889,,(null),(null),,2017-09-17 15:57:43
1957,selim_sef,Germany,,2021-03-31 12:11:58,458483,,(null),(null),,2017-09-17 15:57:43
1957,selim_sef,Germany,,2021-03-31 12:11:58,458485,,(null),(null),,2017-09-17 15:57:43
1957,selim_sef,Germany,,2021-03-31 12:11:58,458770,,(null),(null),,2017-09-17 15:57:43
1957,selim_sef,Germany,,2021-03-31 12:11:58,459061,,(null),(null),,2017-09-17 15:57:43
1957,selim_sef,Germany,,2021-03-31 12:11:58,459423,,(null),(null),,2017-09-17 15:57:43
1299,a.lowe,Canada,,2021-03-31 14:18:13,457510,,(null),(null),,2017-07-24 18:08:35
1299,a.lowe,Canada,,2021-03-31 14:18:13,457511,,(null),(null),,2017-07-24 18:08:35
1299,a.lowe,Canada,,2021-03-31 14:18:13,457519,,(null),(null),,2017-07-24 18:08:35
1299,a.lowe,Canada,,2021-03-31 14:18:13,459019,,(null),(null),,2017-07-24 18:08:35
1299,a.lowe,Canada,,2021-03-31 14:18:13,459420,,(null),(null),,2017-07-24 18:08:35
1613,now_you_see,Russia,,2021-04-01 03:00:23,457434,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,457435,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,457437,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,457513,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,457514,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,457518,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,457753,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,457755,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,457882,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,458482,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,458772,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,459012,,(null),(null),,2018-07-11 04:33:54
1613,now_you_see,Russia,,2021-04-01 03:00:23,459015,,(null),(null),,2018-07-11 04:33:54
944,d_a_konovalov,Australia,/i/m/d_a_konovalov.jpeg,2021-04-01 08:29:58,456691,,(null),(null),,2015-10-04 08:00:35
944,d_a_konovalov,Australia,/i/m/d_a_konovalov.jpeg,2021-04-01 08:29:58,456698,,(null),(null),,2015-10-04 08:00:35
944,d_a_konovalov,Australia,/i/m/d_a_konovalov.jpeg,2021-04-01 08:29:58,457290,,(null),(null),,2015-10-04 08:00:35
944,d_a_konovalov,Australia,/i/m/d_a_konovalov.jpeg,2021-04-01 08:29:58,457439,,(null),(null),,2015-10-04 08:00:35
944,d_a_konovalov,Australia,/i/m/d_a_konovalov.jpeg,2021-04-01 08:29:58,457512,,(null),(null),,2015-10-04 08:00:35
944,d_a_konovalov,Australia,/i/m/d_a_konovalov.jpeg,2021-04-01 08:29:58,457750,,(null),(null),,2015-10-04 08:00:35
944,d_a_konovalov,Australia,/i/m/d_a_konovalov.jpeg,2021-04-01 08:29:58,459063,,(null),(null),,2015-10-04 08:00:35
944,d_a_konovalov,Australia,/i/m/d_a_konovalov.jpeg,2021-04-01 08:29:58,459069,,(null),(null),,2015-10-04 08:00:35
944,d_a_konovalov,Australia,/i/m/d_a_konovalov.jpeg,2021-04-01 08:29:58,459425,,(null),(null),,2015-10-04 08:00:35
944,d_a_konovalov,Australia,/i/m/d_a_konovalov.jpeg,2021-04-01 08:29:58,459710,,74.22129,(null),74.22129,2015-10-04 08:00:35
,GatMasterD,United States,,2021-04-01 10:24:26,456652,,(null),(null),,2019-04-17 13:42:35
681,marathontester1,United States,,2021-04-01 11:34:28,456483,,(null),(null),,2019-03-13 09:18:00
681,marathontester1,United States,,2021-04-01 11:34:28,456486,,(null),(null),,2019-03-13 09:18:00
681,marathontester1,United States,,2021-04-01 11:34:28,456690,,(null),(null),,2019-03-13 09:18:00
681,marathontester1,United States,,2021-04-01 11:34:28,458774,,50.43124,(null),50.43124,2019-03-13 09:18:00
,lxastro0,China,,2021-04-02 09:00:45,456921,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,456922,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,456923,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,456926,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,456927,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,456928,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,457292,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,457299,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,457515,,(null),(null),,2020-10-09 02:28:00
